Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat Gliwice,2013.0,296.0,243.0,5.0
powiat Gliwice,2014.0,232.0,195.0,13.0
powiat Gliwice,2015.0,169.0,147.0,15.0
powiat Gliwice,2016.0,127.0,117.0,11.0
powiat Gliwice,2017.0,120.0,104.0,12.0
powiat Gliwice,2018.0,114.0,105.0,5.0
powiat Gliwice,2019.0,109.0,101.0,4.0
powiat Gliwice,2020.0,112.0,95.0,9.0
powiat Gliwice,2021.0,87.0,76.0,5.0
powiat Gliwice,2022.0,110.0,96.0,8.0
powiat Piekary Śląskie,2011.0,80.0,65.0,2.0
powiat Piekary Śląskie,2012.0,84.0,65.0,2.0
powiat Piekary Śląskie,2013.0,82.0,63.0,3.0
powiat Piekary Śląskie,2014.0,53.0,46.0,1.0
powiat Piekary Śląskie,2015.0,45.0,39.0,0.0
powiat Piekary Śląskie,2016.0,40.0,35.0,2.0
powiat Piekary Śląskie,2017.0,44.0,34.0,3.0
powiat Piekary Śląskie,2018.0,39.0,37.0,2.0
powiat Piekary Śląskie,2019.0,37.0,35.0,0.0
powiat Piekary Śląskie,2020.0,33.0,32.0,2.0
powiat Piekary Śląskie,2021.0,33.0,28.0,0.0
powiat Piekary Śląskie,2022.0,26.0,26.0,3.0
powiat Jaworzno,2011.0,124.0,98.0,2.0
powiat Jaworzno,2012.0,105.0,82.0,6.0
powiat Jaworzno,2013.0,88.0,68.0,4.0
powiat Jaworzno,2014.0,94.0,67.0,5.0
powiat Jaworzno,2015.0,57.0,43.0,2.0
powiat Jaworzno,2016.0,37.0,36.0,4.0
powiat Jaworzno,2017.0,47.0,36.0,0.0
powiat Jaworzno,2018.0,42.0,29.0,5.0
powiat Jaworzno,2019.0,31.0,28.0,1.0
powiat Jaworzno,2020.0,33.0,28.0,2.0
powiat Jaworzno,2021.0,27.0,22.0,1.0
